date,description,category,amount
2026-03-01,Woolworths Food,Groceries,R490.80
2026-03-03,Shell Garage Rivonia,Fuel,"R2,450.00"
2026-03-05,Electricity - City of Joburg,Utilities,"R1,000.00"
2026-03-06,Shoprite Meadowdale,Groceries,"R1,040.60"
2026-03-08,Spar Greenside,Groceries,"R1,560.40"
2026-03-10,Water - Rand Water,Utilities,R506.55
2026-03-11,ENGEN Petrol Station,Fuel,"R1,800.30"
2026-03-13,Food Lovers Market Illovo,Groceries,R275.90
2026-03-15,Steers Sandton City,Eating Out,R195.00
2026-03-17,Pick n Pay Hyper,Groceries,"R2,100.00"
2026-03-19,Nando's Melrose Arch,Eating Out,R220.00
2026-03-21,Dis-Chem Sandton,Health,R510.00
2026-03-22,Checkers Hyper,Groceries,R875.30
2026-03-24,Woolworths Wine & Food,Groceries,R650.00
2026-03-26,Netflix Subscription,Entertainment,R199.00
2026-03-27,Gym membership - Virgin Active,Health,R699.00
2026-03-28,Builders Warehouse,Home,"R1,340.00"
2026-03-30,Game Store,Home,R780.00
